"Unique_CommentID","newsgroup","newsgroup_ID","Thread.ID","NG_Relative_CommentID","NG_Relative_ThreadID","Comment.ID","Unique.Comment.ID","Author","Date.and.Time","Full.Text","URL.String","Hour","Date","SentimentScore","Relevancy"
"NG01_TH01352_CM00001","netmed","NG01","NG01_TH01352","TH01352_CM00001","TH01352","CM00001","TH01352_CM00001","Jerry",1986-02-19 21:00:35,"I know this is irrelevent to net.jokes but the original article
was cross posted there and I consider it my duty as an AIDS volunteer
to educate...
This quote is taken without permission from the 15 Feb 1986 issue of
Science News (page 101):
""Anthropologist Uli Linke of the University of California at Berkely
suggests in the Jan. 17 _Science_ that the practice of clitorodectomy
may provide an explaination [of the heterosexual transmission of AIDS
in Africa].  Areas in Africa where part of the female genitalia is
ritually removed correspond to the areas of the epidemic, she says.
After some types of clitorodectomy, vaginal intercourse can cause
bleeding, and anal intercourse is often substituted.  Either practice,
notes Linke, could encourage spread of the virus.""
I intend to read the original article or letter shortly and will post
any additional info to net.med and net.motss.  Incidently, what does
motss mean or stand for?
				Jerry I Natowitz
				ihnp4!houxm!hropus!jin
				The Master Baker","v7mN2rpfn5kJ",21,1986-02-20,4,3
"NG01_TH01352_CM00002","netmed","NG01","NG01_TH01352","TH01352_CM00002","TH01352","CM00002","TH01352_CM00002","Ron Rizzo",1986-02-21 16:10:56,"Sounds like anthropologist Uli's search for the missing link
(to connect weird AIDS with normal heterosexuality) has taken
refuge in ""spurious correlation.""  The geography of African
AIDS is probably coterminous with other blood vectors as well,
ie, presence of human blood in indigenous religious rites, etc.
Medical opinion considers that these vectors may enhance the 
epidemic but believes, on the basis of the evidence so far in 
hand, that the primary vector for African AIDS has been vaginal
intercourse between female prostitutes and their itinerant male
clients.  Anal intercourse is apparently fairly rare in such
encounters (they've interviewed prostitutes and clients).
Recently, some US doctors announced the first corroborated
case of vaginal transmission of AIDS in this country.
					Ron Rizzo","JtL8SQDzbwAJ",16,1986-02-22,-2,2
"NG01_TH01352_CM00003","netmed","NG01","NG01_TH01352","TH01352_CM00003","TH01352","CM00003","TH01352_CM00003","Kitteredge",1986-02-21 16:30:42,"> I know this is irrelevent to net.jokes but the original article
> was cross posted there and I consider it my duty as an AIDS volunteer
> to educate...
> 
> This quote is taken without permission from the 15 Feb 1986 issue of
> Science News (page 101):
> 
> ""Anthropologist Uli Linke of the University of California at Berkely
> suggests in the Jan. 17 _Science_ that the practice of clitorodectomy
> may provide an explaination [of the heterosexual transmission of AIDS
> in Africa].
...
> After some types of clitorodectomy, vaginal intercourse can cause
> bleeding, and anal intercourse is often substituted.  Either practice,
> notes Linke, could encourage spread of the virus.""
> 
> I intend to read the original article or letter shortly and will post
> any additional info to net.med and net.motss.  Incidently, what does
> motss mean or stand for?
> 
> 				Jerry I Natowitz
Thanks for this article; it is fascinating, if only preliminary
hypothesis. I have often wondered how women could pass on AIDS during
sex, if it is true that the virus is found in large quantities in
semen and blood.
Motss stands for ""Members of the Same Sex.""
----------------------------------------------------------------------
		John Thomas Kittredge","oiMws7Ck_noJ",16,1986-02-22,11,3
"NG01_TH01352_CM00004","netmed","NG01","NG01_TH01352","TH01352_CM00004","TH01352","CM00004","TH01352_CM00004","joha...@agrigene.uucp",1986-02-24 13:48:32,"> 
> Thanks for this article; it is fascinating, if only preliminary
> hypothesis. I have often wondered how women could pass on AIDS during
> sex, if it is true that the virus is found in large quantities in
> semen and blood.
> 
I read in a recent article on ""Orgasm"" in Discover magazine (or one of
the clones) that the vaginal lubricant produced during arousal in women
is simply 'filtered blood serum' ie, blood cells are removed. This would
probably not remove the virus. How this enters the mans body in
significant amounts is another question.","77t6UjDDyQkJ",13,1986-02-24,8,3
"NG01_TH01352_CM00005","netmed","NG01","NG01_TH01352","TH01352_CM00005","TH01352","CM00005","TH01352_CM00005","JB",1986-02-24 18:47:09,"
I quote below an excerpt from an article entitled ""Prostitutes: victims
or scapegoats of the AIDS crisis?"" which appeared in the February 20,
1985 issue of _Windy_City_Times_-_Chicago's_Gay_And_Lesbian_Newsweekly_
(reprinted without permission):
     Male to male transmission of AIDS is well documented and because
     of this male prostitutes are a proven high-risk group.  However,
     the jury is still out on female prostitutes.  Female to male
     transmission of AIDS is not so well documented.  A recent medical
     study reported in the _American_Journal_of_Medicine_ said female
     to male transmission of the disease is unlikely and not much of a
     risk.  The Centers for Disease Control in Atlanta said of approxi-
     mately 16,000 AIDS cases, only one percent are heterosexual.  That
     amounts to about 160 people.  The CDC also said that of the 160
     cases, 90 percent are women who have contracted AIDS from men.
     Only 20 men, said the CDC, have contracted AIDS from women, and of
     these 20 cases only one case is thought to have been from a female
     prostitute to a client.
Out of 16 *thousand* cases of AIDS in America, only *20* are confirmed
transmissions from female to male.  If experts in Africa have good
reason to believe ""that the primary vector for African AIDS has been
vaginal intercourse between female prostitutes and their itinerant male
clients"", then clearly something is seriously different between there
and here.  And the various mutilation practices and bloody religious
ceremonies sound worth investigating.
-- 
--JB     ((Just) Beth Christy, U. of Chicago, ..!ihnp4!gargoyle!sphinx!beth)
	 Sylvia says `A real lady never asks: ""Was *what* good for me?"".
			      (""I'm sorry - I wasn't paying attention."")'","212SayAJw0UJ",18,1986-02-25,-9,2
"NG01_TH01352_CM00006","netmed","NG01","NG01_TH01352","TH01352_CM00006","TH01352","CM00006","TH01352_CM00006","Craig Werner",1986-02-27 00:14:07,"> I know this is irrelevent to net.jokes but the original article
> was cross posted there and I consider it my duty as an AIDS volunteer
> to educate...
	The original article was a story about prostitutes in the 1800s having
their virginity surgically restored after each client.  How this could migrate
into a discussion on AIDS transmission in Africa is just one of those
phenomenons of the USENET ... 
-- 
				Craig Werner
				!philabs!aecom!werner
I'll also entertain gifts,knick-knacks,offers of money, & proposals of marriage","TJIgdDXUKc4J",0,1986-02-27,3,1
"NG01_TH01352_CM00007","netmed","NG01","NG01_TH01352","TH01352_CM00007","TH01352","CM00007","TH01352_CM00007","Bob Bickford",1986-02-27 05:39:52,"<BUG?!>
> 
> Motss stands for ""Members of the Same Sex.""
> 
> 
> 		John Thomas Kittredge
   Funny, I was under the distinct impression that it stood for
 ""More Of The Same Shit""
						:-)  :-)
       Robert Bickford     (r...@well.uucp)
================================================
|  I doubt if these are even my own opinions.  |
================================================
-- 
       Robert Bickford     (r...@well.uucp)
================================================
|  I doubt if these are even my own opinions.  |
================================================","FltWb5CB6EYJ",5,1986-02-27,-1,1
"NG01_TH01352_CM00008","netmed","NG01","NG01_TH01352","TH01352_CM00008","TH01352","CM00008","TH01352_CM00008","Ed Turner",1986-02-27 12:50:38,"A different and more alarming speculation for the widespread heterosexual
occurence of AIDS in Africa (and Hatti) with a similar frequency among
men and women is a possible insect vector, perhaps some species of
mosquito.  This was mentioned in a fairly recent issue of SCIENCE.  I
think it was also put forward to explain a geographically and temporally
concentrated group of AIDS cases in a small Florida town in a swampy area.
It certainly sounds plausable to my inexpert ears.  Does anyone know
any more about this?
Ed Turner
astrovax!elt","RW-3h6FV8cYJ",12,1986-02-27,0,2
"NG01_TH01352_CM00009","netmed","NG01","NG01_TH01352","TH01352_CM00009","TH01352","CM00009","TH01352_CM00009","Sam Vause",1986-03-01 11:45:12,"In article <7...@well.UUCP> r...@well.UUCP writes:
>> Motss stands for ""Members of the Same Sex.""
>> 		John Thomas Kittredge
>   Funny, I was under the distinct impression that it stood for
> ""More Of The Same Shit""
>						:-)  :-)
>       Robert Bickford     (r...@well.uucp)
Despite the dual smiley-faces, I still can't begin to fathom the humour.
Perhaps this form of humour (sic) belongs elsewhere.  Perhaps nowhere.
-- 
|------------------------------------------------------------------|
|Sam Vause, NCR Corporation, TOWER Systems Development, 3325 Platt |
|Springs Road, West Columbia, SC 29169 
(803) 791-6281
              |
|				...!decvax!mcnc!ncsu!ncrcae!vause  |
|				...!ihnp4!leopard!ncrcae!vause     |
|------------------------------------------------------------------|","7lzZCp9Dn-0J",11,1986-03-01,2,1
"NG01_TH01352_CM00010","netmed","NG01","NG01_TH01352","TH01352_CM00010","TH01352","CM00010","TH01352_CM00010","Roger Klorese",1986-03-02 22:06:33,"In article <7...@well.UUCP> r...@well.UUCP (Bob Bickford) writes:
><BUG?!>
>
>> 
>> Motss stands for ""Members of the Same Sex.""
>> 
>> 
>> 		John Thomas Kittredge
>
>
>   Funny, I was under the distinct impression that it stood for
>
> ""More Of The Same Shit""
>
>						:-)  :-)
>
>
>       Robert Bickford     (r...@well.uucp)
>================================================
>|  I doubt if these are even my own opinions.  |
>================================================
Well, let's certainly HOPE not...
-- 
*** Speak for the company?  Naaaah, it's hard enough speaking for ME! ***
 ... ""What were you expecting, rock'n'roll?""                                  
Roger B.A. Klorese
Celerity Computing, 40 Speen St., Framingham, MA 01701, 
(617) 872-1772
 
UUCP: seismo!harvard!bu-cs!celtics!roger, ucbvax!sdcsvax!celerity!celtics!roger
ARPA: bu-cs!celtics!ro...@harvard.ARPA, celerity!celtics!ro...@sdcsvax.ARPA","TloBlMdXuiwJ",22,1986-03-03,0,1
